S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
88,88.,Nutritional Status of Adults (age 15-49 years),Women who are overweight or obese (BMI ≥25.0 kg/m2) (%),41.7,35.7,38.1,31.8,Andaman & Nicobar Islands
89,89.,Nutritional Status of Adults (age 15-49 years),Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),37.0,50.6,45.3,38.2,Andaman & Nicobar Islands
90,90.,Nutritional Status of Adults (age 15-49 years),Women who have high risk waist-to-hip ratio (≥0.85) (%),72.2,80.7,77.3,na,Andaman & Nicobar Islands
91,91.,Nutritional Status of Adults (age 15-49 years),Men who have high risk waist-to-hip ratio (≥0.90) (%),61.3,53.7,56.6,na,Andaman & Nicobar Islands
92,92.,Anaemia among Children and Adults,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),47.8,33.3,40.0,49.0,Andaman & Nicobar Islands
93,93.,Anaemia among Children and Adults,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),57.4,57.7,57.6,65.8,Andaman & Nicobar Islands
94,94.,Anaemia among Children and Adults,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(55.5),53.7,61.4,Andaman & Nicobar Islands
95,95.,Anaemia among Children and Adults,All women age 15-49 years who are anaemic (%),57.2,57.6,57.5,65.7,Andaman & Nicobar Islands
96,96.,Anaemia among Children and Adults,All women age 15-19 years who are anaemic (%),44.1,45.5,44.9,68.1,Andaman & Nicobar Islands
97,97.,Anaemia among Children and Adults,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),9.2,20.4,16.1,30.8,Andaman & Nicobar Islands
98,98.,Anaemia among Children and Adults,Men age 15-19 years who are anaemic (<13.0 g/dl) (%),*,(25.6),27.1,43.0,Andaman & Nicobar Islands
99,99.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high (141-160 mg/dl) (%) - Women,8.6,6.7,7.4,na,Andaman & Nicobar Islands
100,100.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - very high (>160 mg/dl) (%) - Women,9.4,7.3,8.1,na,Andaman & Nicobar Islands
101,101.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,19.6,16.2,17.5,na,Andaman & Nicobar Islands
102,102.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high (141-160 mg/dl) (%) - Men,9.5,9.1,9.3,na,Andaman & Nicobar Islands
103,103.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - very high (>160 mg/dl) (%) - Men,8.6,6.6,7.3,na,Andaman & Nicobar Islands
104,104.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,19.4,17.1,17.9,na,Andaman & Nicobar Islands
