S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
3408,2.,Population and Household Profile,Population below age 15 years (%),25.2,33.2,31.3,32.9,Jharkhand
3409,3.,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",989,"1,070","1,050","1,002",Jharkhand
3410,4.,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",781,926,899,919,Jharkhand
3411,5.,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),83.8,71.4,73.5,65.0,Jharkhand
3412,6.,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),56.2,36.1,40.4,na,Jharkhand
3413,7.,Population and Household Profile,Population living in households with electricity (%),99.0,92.9,94.3,81.2,Jharkhand
3414,8.,Population and Household Profile,Population living in households with an improved drinking-water source (%),94.6,84.1,86.6,78.1,Jharkhand
3415,9.,Population and Household Profile,Population living in households that use an improved sanitation facility (%),75.9,50.8,56.7,25.0,Jharkhand
3416,10.,Population and Household Profile,Households using clean fuel for cooking (%),71.0,19.5,31.9,18.9,Jharkhand
3417,11.,Population and Household Profile,Households using iodized salt (%),98.4,97.4,97.7,97.6,Jharkhand
3418,12.,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),41.6,53.1,50.3,13.3,Jharkhand
3419,13.,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019 - 20 (%),15.2,7.6,9.0,na,Jharkhand
3420,14.,Characteristics of Adults (age 15-49 years),Women who are literate (%),80.1,55.6,61.7,na,Jharkhand
3421,15.,Characteristics of Adults (age 15-49 years),Men who are literate (%),92.0,77.4,81.3,na,Jharkhand
3422,16.,Characteristics of Adults (age 15-49 years),Women with 10 or more years of schooling (%),54.4,26.3,33.2,28.7,Jharkhand
3423,17.,Characteristics of Adults (age 15-49 years),Men with 10 or more years of schooling (%),66.2,39.4,46.6,40.2,Jharkhand
3424,18.,Characteristics of Adults (age 15-49 years),Women who have ever used the internet (%),57.8,22.7,31.4,na,Jharkhand
3425,19.,Characteristics of Adults (age 15-49 years),Men who have ever used the internet (%),70.8,53.2,58.0,na,Jharkhand
3426,20.,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),19.4,36.1,32.2,37.9,Jharkhand
3427,21.,Marriage and Fertility,Men age 25-29 years married before age 21 years (%),10.2,26.9,22.7,30.5,Jharkhand
3428,22.,Marriage and Fertility,Total fertility rate (children per woman),1.6,2.5,2.3,2.6,Jharkhand
3429,23.,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.2,11.2,9.8,12.0,Jharkhand
3430,24.,Marriage and Fertility,Adolescent fertility rate for women age 15-19 years,34,73,64,77,Jharkhand
3431,25.,"Infant and Child Mortality Rates (per 1,000 live births)",Neonatal mortality rate (NNMR),17.7,30.4,28.2,33.0,Jharkhand
3432,26.,"Infant and Child Mortality Rates (per 1,000 live births)",Infant mortality rate (IMR),22.2,41.1,37.9,43.8,Jharkhand
3433,27.,"Infant and Child Mortality Rates (per 1,000 live births)",Under-five mortality rate (U5MR),27.3,49.2,45.4,54.3,Jharkhand
3434,28.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any method (%),66.0,60.4,61.7,40.4,Jharkhand
3435,29.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any modern method (%),51.4,48.9,49.5,37.5,Jharkhand
3436,30.,Current Use of Family Planning Methods (currently married women age 15–49 years),Female sterilization (%),37.3,37.4,37.4,31.1,Jharkhand
3437,31.,Current Use of Family Planning Methods (currently married women age 15–49 years),Male sterilization (%),0.4,0.2,0.3,0.2,Jharkhand
3438,32.,Current Use of Family Planning Methods (currently married women age 15–49 years),IUD/PPIUD (%),2.1,1.6,1.7,1.0,Jharkhand
3439,33.,Current Use of Family Planning Methods (currently married women age 15–49 years),Pill (%),3.1,3.1,3.1,2.6,Jharkhand
3440,34.,Current Use of Family Planning Methods (currently married women age 15–49 years),Condom (%),6.0,3.5,4.1,2.2,Jharkhand
3441,35.,Current Use of Family Planning Methods (currently married women age 15–49 years),Injectables (%),0.5,0.5,0.5,0.2,Jharkhand
3442,36.,Unmet Need for Family Planning (currently married women age 15–49 years),Total unmet need (%),11.2,11.6,11.5,18.4,Jharkhand
3443,37.,Unmet Need for Family Planning (currently married women age 15–49 years),Unmet need for spacing (%),4.7,4.8,4.8,9.0,Jharkhand
3444,38.,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),27.9,29.5,29.1,19.6,Jharkhand
3445,39.,Quality of Family Planning Services,Current users ever told about side effects of current method (%),52.8,50.6,51.1,39.4,Jharkhand
3446,40.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had an antenatal check-up in the first trimester (%),76.2,66.2,68.0,52.0,Jharkhand
3447,41.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had at least 4 antenatal care visits (%),48.5,36.4,38.6,30.3,Jharkhand
3448,42.,Maternity Care (for last birth in the 5 years before the survey),Mothers whose last birth was protected against neonatal tetanus (%),90.8,90.8,90.8,91.7,Jharkhand
3449,43.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),37.7,26.1,28.2,15.3,Jharkhand
3450,44.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),22.3,13.2,14.9,4.2,Jharkhand
3451,45.,Maternity Care (for last birth in the 5 years before the survey),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),87.7,92.3,91.5,86.9,Jharkhand
3452,46.,Maternity Care (for last birth in the 5 years before the survey),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),79.8,66.7,69.1,44.4,Jharkhand
3453,47.,Maternity Care (for last birth in the 5 years before the survey),Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,584","1,980","2,069","1,476",Jharkhand
3454,48.,Maternity Care (for last birth in the 5 years before the survey),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),2.2,3.5,3.4,2.2,Jharkhand
3455,49.,Maternity Care (for last birth in the 5 years before the survey),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.6,66.1,68.7,na,Jharkhand
3456,50.,Delivery Care (for births in the 5 years before the survey),Institutional births (%),89.1,73.1,75.8,61.9,Jharkhand
3457,51.,Delivery Care (for births in the 5 years before the survey),Institutional births in public facility (%),47.3,58.8,56.8,41.8,Jharkhand
3458,52.,Delivery Care (for births in the 5 years before the survey),Home births that were conducted by skilled health personnel (%),4.2,9.3,8.4,8.0,Jharkhand
3459,53.,Delivery Care (for births in the 5 years before the survey),Births attended by skilled health personnel (%),92.6,80.5,82.5,69.6,Jharkhand
3460,54.,Delivery Care (for births in the 5 years before the survey),Births delivered by caesarean section (%),25.8,10.2,12.8,9.9,Jharkhand
3461,55.,Delivery Care (for births in the 5 years before the survey),Births in a private health facility that were delivered by caesarean section (%),47.7,46.1,46.7,39.5,Jharkhand
3462,56.,Delivery Care (for births in the 5 years before the survey),Births in a public health facility that were delivered by caesarean section (%),12.4,6.1,7.0,4.6,Jharkhand
3463,57.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),67.8,75.1,73.9,61.9,Jharkhand
3464,58.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%) ,74.6,80.1,79.2,72.7,Jharkhand
3465,59.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),93.0,95.4,95.0,95.8,Jharkhand
3466,60.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),71.2,77.8,76.8,73.8,Jharkhand
3467,61.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),79.8,86.7,85.6,82.4,Jharkhand
3468,62.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),81.0,87.8,86.7,82.6,Jharkhand
3469,63.,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),29.7,32.8,32.3,na,Jharkhand
3470,64.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),65.2,76.4,74.6,na,Jharkhand
3471,65.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.6,85.2,84.4,56.4,Jharkhand
3472,66.,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.5,70.6,70.9,56.6,Jharkhand
3473,67.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),89.1,98.0,96.5,95.3,Jharkhand
3474,68.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a private health,10.9,1.4,2.9,4.6,Jharkhand
3475,69.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.5,7.3,7.2,6.9,Jharkhand
3476,70.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%) ,55.2,55.7,55.6,44.8,Jharkhand
3477,71.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),42.2,26.4,28.9,19.1,Jharkhand
3478,72.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%) ,66.9,58.3,59.7,56.7,Jharkhand
3479,73.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,2.2,2.1,3.2,Jharkhand
3480,74.,Treatment of Childhood Diseases (children under age 5 years),Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),68.4,58.2,59.8,67.2,Jharkhand
3481,75.,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),22.5,21.3,21.5,33.1,Jharkhand
3482,76.,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),61.6,78.6,76.1,64.8,Jharkhand
3483,77.,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),33.5,39.9,38.8,47.2,Jharkhand
3484,78.,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),10.6,9.9,10.0,7.2,Jharkhand
3485,79.,Child Feeding Practices and Nutritional Status of Children,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(7.3),18.6,16.3,7.1,Jharkhand
3486,80.,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),10.3,10.5,10.5,7.2,Jharkhand
3487,81.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age) (%),26.8,42.3,39.6,45.3,Jharkhand
3488,82.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height) (%),23.0,22.3,22.4,29.0,Jharkhand
3489,83.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height) (%),10.7,8.8,9.1,11.4,Jharkhand
3490,84.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age) (%),30.0,41.4,39.4,47.8,Jharkhand
3491,85.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height) (%),2.8,2.8,2.8,1.5,Jharkhand
3492,86.,Nutritional Status of Adults (age 15-49 years),Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),17.3,29.2,26.2,31.5,Jharkhand
3493,87.,Nutritional Status of Adults (age 15-49 years),Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),12.1,18.9,17.1,23.8,Jharkhand
3494,88.,Nutritional Status of Adults (age 15-49 years),Women who are overweight or obese (BMI ≥25.0 kg/m2) (%),21.6,8.6,11.9,10.3,Jharkhand
3495,89.,Nutritional Status of Adults (age 15-49 years),Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),21.7,12.8,15.1,11.1,Jharkhand
3496,90.,Nutritional Status of Adults (age 15-49 years),Women who have high risk waist-to-hip ratio (≥0.85) (%),66.4,56.2,58.7,na,Jharkhand
3497,91.,Nutritional Status of Adults (age 15-49 years),Men who have high risk waist-to-hip ratio (≥0.90) (%),53.6,44.0,46.5,na,Jharkhand
3498,92.,Anaemia among Children and Adults,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),65.5,67.9,67.5,69.9,Jharkhand
3499,93.,Anaemia among Children and Adults,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),61.6,67.0,65.7,65.3,Jharkhand
3500,94.,Anaemia among Children and Adults,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),45.5,59.2,56.8,62.6,Jharkhand
3501,95.,Anaemia among Children and Adults,All women age 15-49 years who are anaemic (%),61.1,66.7,65.3,65.2,Jharkhand
3502,96.,Anaemia among Children and Adults,All women age 15-19 years who are anaemic (%),63.2,66.5,65.8,65.0,Jharkhand
3503,97.,Anaemia among Children and Adults,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),27.1,30.5,29.6,29.8,Jharkhand
3504,98.,Anaemia among Children and Adults,Men age 15-19 years who are anaemic (<13.0 g/dl) (%),39.0,39.9,39.7,35.3,Jharkhand
3505,99.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high (141-160 mg/dl) (%) - Women,5.8,5.2,5.4,na,Jharkhand
3506,100.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - very high (>160 mg/dl) (%) - Women,5.6,3.7,4.2,na,Jharkhand
3507,101.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,12.5,9.5,10.2,na,Jharkhand
3508,102.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high (141-160 mg/dl) (%) - Men,6.9,6.9,6.9,na,Jharkhand
3509,103.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - very high (>160 mg/dl) (%) - Men,7.9,5.9,6.4,na,Jharkhand
3510,104.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,15.8,13.4,14.1,na,Jharkhand
3511,105.,Hypertension among Adults (age 15 years and above) - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Women,13.0,10.5,11.1,na,Jharkhand
3512,106.,Hypertension among Adults (age 15 years and above) - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Women,4.7,5.1,5.0,na,Jharkhand
3513,107.,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,20.1,17.0,17.8,na,Jharkhand
3514,108.,Hypertension among Adults (age 15 years and above) - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Men,16.3,14.6,15.1,na,Jharkhand
3515,109.,Hypertension among Adults (age 15 years and above) - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Men,6.5,6.0,6.1,na,Jharkhand
3516,110.,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,25.3,21.6,22.6,na,Jharkhand
3517,111.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a screening test for cervical cancer (%) - Women,0.4,0.5,0.5,na,Jharkhand
3518,112.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a breast examination for breast cancer (%) - Women,0.1,0.1,0.1,na,Jharkhand
3519,113.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone an oral cavity examination for oral cancer (%) - Women,0.2,0.2,0.2,na,Jharkhand
3520,114.,Screening for Cancer among Adults (age 30-49 years) - Men,Ever undergone an oral cavity examination for oral cancer (%) - Men,0.1,0.5,0.4,na,Jharkhand
3521,115.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who have comprehensive knowledge24 of HIV/AIDS (%),21.7,11.2,13.8,15.8,Jharkhand
3522,116.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who have comprehensive knowledge24 of HIV/AIDS (%),39.4,28.1,31.2,18.0,Jharkhand
3523,117.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),76.1,62.5,65.9,45.5,Jharkhand
3524,118.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),90.7,76.8,80.6,67.8,Jharkhand
3525,119.,Women's Empowerment (women age 15-49 years),Currently married women who usually participate in three household decisions (%),94.6,89.8,91.0,86.6,Jharkhand
3526,120.,Women's Empowerment (women age 15-49 years),Women who worked in the last 12 months and were paid in cash (%),18.8,17.7,18.0,24.8,Jharkhand
3527,121.,Women's Empowerment (women age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),57.4,66.5,64.2,49.7,Jharkhand
3528,122.,Women's Empowerment (women age 15-49 years),Women having a bank or savings account that they themselves use (%),79.2,79.8,79.6,45.1,Jharkhand
3529,123.,Women's Empowerment (women age 15-49 years),Women having a mobile phone that they themselves use (%),65.2,43.7,49.0,35.2,Jharkhand
3530,124.,Women's Empowerment (women age 15-49 years),Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),88.2,70.8,74.9,49.6,Jharkhand
3531,125.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),25.3,33.4,31.5,34.0,Jharkhand
3532,126.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.1,3.4,3.1,2.8,Jharkhand
3533,127.,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.5,1.5,1.3,2.1,Jharkhand
3534,128.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),4.8,9.6,8.4,na,Jharkhand
3535,129.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),37.2,51.0,47.4,na,Jharkhand
3536,130.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),2.0,7.4,6.1,na,Jharkhand
3537,131.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),24.6,38.7,35.0,na,Jharkhand
3538,1.,Population and Household Profile,Female population age 6 years and above who ever attended school (%),80.5,62.6,67.5,64.0,Madhya Pradesh
3539,2.,Population and Household Profile,Population below age 15 years (%),23.9,27.5,26.5,30.3,Madhya Pradesh
3540,3.,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",953,976,970,948,Madhya Pradesh
3541,4.,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",948,959,956,927,Madhya Pradesh
3542,5.,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),95.5,93.7,94.1,81.9,Madhya Pradesh
3543,6.,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),85.1,70.5,74.3,na,Madhya Pradesh
3544,7.,Population and Household Profile,Population living in households with electricity (%),99.4,98.0,98.4,90.9,Madhya Pradesh
3545,8.,Population and Household Profile,Population living in households with an improved drinking-water source (%),97.9,85.7,89.0,85.2,Madhya Pradesh
3546,9.,Population and Household Profile,Population living in households that use an improved sanitation facility (%),81.2,59.2,65.1,34.8,Madhya Pradesh
3547,10.,Population and Household Profile,Households using clean fuel for cooking (%),84.3,23.6,40.1,29.6,Madhya Pradesh
3548,11.,Population and Household Profile,Households using iodized salt (%),97.5,94.4,95.3,93.2,Madhya Pradesh
3549,12.,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),41.4,36.8,38.1,17.7,Madhya Pradesh
3550,13.,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019 - 20 (%),15.2,9.0,10.5,na,Madhya Pradesh
3551,14.,Characteristics of Adults (age 15-49 years),Women who are literate (%),81.5,59.2,65.4,na,Madhya Pradesh
3552,15.,Characteristics of Adults (age 15-49 years),Men who are literate (%),88.3,78.7,81.3,na,Madhya Pradesh
3553,16.,Characteristics of Adults (age 15-49 years),Women with 10 or more years of schooling (%),49.1,21.7,29.3,23.2,Madhya Pradesh
3554,17.,Characteristics of Adults (age 15-49 years),Men with 10 or more years of schooling (%),53.1,35.0,39.9,34.3,Madhya Pradesh
3555,18.,Characteristics of Adults (age 15-49 years),Women who have ever used the internet (%),46.5,20.1,26.9,na,Madhya Pradesh
3556,19.,Characteristics of Adults (age 15-49 years),Men who have ever used the internet (%),72.7,49.3,55.7,na,Madhya Pradesh
3557,20.,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),13.0,26.6,23.1,32.4,Madhya Pradesh
3558,21.,Marriage and Fertility,Men age 25-29 years married before age 21 years (%),15.8,35.1,30.1,31.2,Madhya Pradesh
3559,22.,Marriage and Fertility,Total fertility rate (children per woman),1.6,2.1,2.0,2.3,Madhya Pradesh
3560,23.,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.5,5.9,5.1,7.3,Madhya Pradesh
3561,24.,Marriage and Fertility,Adolescent fertility rate for women age 15-19 years,19,43,37,53,Madhya Pradesh
3562,25.,"Infant and Child Mortality Rates (per 1,000 live births)",Neonatal mortality rate (NNMR),24.0,30.4,29.0,36.9,Madhya Pradesh
3563,26.,"Infant and Child Mortality Rates (per 1,000 live births)",Infant mortality rate (IMR),33.9,43.5,41.3,51.2,Madhya Pradesh
3564,27.,"Infant and Child Mortality Rates (per 1,000 live births)",Under-five mortality rate (U5MR),38.2,52.5,49.2,64.6,Madhya Pradesh
3565,28.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any method (%),71.4,71.9,71.7,51.4,Madhya Pradesh
3566,29.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any modern method (%),63.8,66.1,65.5,49.6,Madhya Pradesh
3567,30.,Current Use of Family Planning Methods (currently married women age 15–49 years),Female sterilization (%),41.5,55.7,51.9,42.2,Madhya Pradesh
3568,31.,Current Use of Family Planning Methods (currently married women age 15–49 years),Male sterilization (%),0.8,0.7,0.7,0.5,Madhya Pradesh
3569,32.,Current Use of Family Planning Methods (currently married women age 15–49 years),IUD/PPIUD (%),1.4,0.9,1.1,0.5,Madhya Pradesh
3570,33.,Current Use of Family Planning Methods (currently married women age 15–49 years),Pill (%),2.6,1.7,1.9,1.3,Madhya Pradesh
3571,34.,Current Use of Family Planning Methods (currently married women age 15–49 years),Condom (%),15.8,5.3,8.1,4.9,Madhya Pradesh
3572,35.,Current Use of Family Planning Methods (currently married women age 15–49 years),Injectables (%),0.6,0.3,0.4,0.1,Madhya Pradesh
3573,36.,Unmet Need for Family Planning (currently married women age 15–49 years),Total unmet need (%),8.4,7.4,7.7,12.1,Madhya Pradesh
3574,37.,Unmet Need for Family Planning (currently married women age 15–49 years),Unmet need for spacing (%),3.9,3.8,3.9,5.7,Madhya Pradesh
3575,38.,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),26.9,28.7,28.2,20.4,Madhya Pradesh
3576,39.,Quality of Family Planning Services,Current users ever told about side effects of current method (%),77.2,67.9,69.9,39.3,Madhya Pradesh
3577,40.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had an antenatal check-up in the first trimester (%),78.4,74.4,75.4,53.0,Madhya Pradesh
3578,41.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had at least 4 antenatal care visits (%),63.3,55.6,57.5,35.7,Madhya Pradesh
3579,42.,Maternity Care (for last birth in the 5 years before the survey),Mothers whose last birth was protected against neonatal tetanus (%),96.4,94.5,95.0,89.8,Madhya Pradesh
3580,43.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),58.6,49.1,51.4,23.5,Madhya Pradesh
3581,44.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),36.6,30.3,31.8,9.2,Madhya Pradesh
3582,45.,Maternity Care (for last birth in the 5 years before the survey),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.5,97.4,96.7,92.2,Madhya Pradesh
3583,46.,Maternity Care (for last birth in the 5 years before the survey),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.6,82.2,83.5,54.9,Madhya Pradesh
3584,47.,Maternity Care (for last birth in the 5 years before the survey),Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,969","1,523","1,619","1,481",Madhya Pradesh
3585,48.,Maternity Care (for last birth in the 5 years before the survey),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),11.4,9.2,9.4,2.5,Madhya Pradesh
3586,49.,Maternity Care (for last birth in the 5 years before the survey),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.0,82.3,83.9,na,Madhya Pradesh
3587,50.,Delivery Care (for births in the 5 years before the survey),Institutional births (%),95.8,89.2,90.7,80.8,Madhya Pradesh
3588,51.,Delivery Care (for births in the 5 years before the survey),Institutional births in public facility (%),71.9,82.6,80.2,69.4,Madhya Pradesh
3589,52.,Delivery Care (for births in the 5 years before the survey),Home births that were conducted by skilled health personnel (%),1.2,2.9,2.5,2.3,Madhya Pradesh
3590,53.,Delivery Care (for births in the 5 years before the survey),Births attended by skilled health personnel (%),92.5,88.4,89.3,78.0,Madhya Pradesh
3591,54.,Delivery Care (for births in the 5 years before the survey),Births delivered by caesarean section (%),23.3,8.8,12.1,8.6,Madhya Pradesh
3592,55.,Delivery Care (for births in the 5 years before the survey),Births in a private health facility that were delivered by caesarean section (%),51.4,53.2,52.3,40.8,Madhya Pradesh
3593,56.,Delivery Care (for births in the 5 years before the survey),Births in a public health facility that were delivered by caesarean section (%),15.3,6.5,8.2,5.8,Madhya Pradesh
3594,57.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),76.5,77.3,77.1,53.6,Madhya Pradesh
3595,58.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%) ,83.5,83.2,83.3,76.3,Madhya Pradesh
3596,59.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),95.3,95.4,95.4,91.6,Madhya Pradesh
3597,60.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),81.0,81.5,81.4,63.6,Madhya Pradesh
3598,61.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),89.3,86.9,87.4,73.4,Madhya Pradesh
3599,62.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing,89.1,87.7,88.0,79.6,Madhya Pradesh
